id_transaccion,id_cliente,fecha,categoria_producto,cantidad_items,monto_total,canal_venta,medio_pago,localidad
TX-000099,CLI-03226,2024-06-23,Herramientas manuales,3,58691.05,Telefónico,Cuenta corriente,Río Grande
TX-000102,CLI-03325,2024-06-24,Cemento y áridos,53,947302.6,App,Transferencia,Río Grande
TX-000103,CLI-03182,2024-06-24,Aberturas,2,265544.24,Telefónico,Cuenta corriente,Río Grande 
TX-000104,CLI-04395,2024-06-24,Seguridad e indumentaria,5,104100.34,Web,Tarjeta de crédito,Ushuaia 
TX-000105,CLI-03967,2024-06-24,Electricidad e iluminación,18,152535.78,Web,transf.,Río Grande
TX-000106,CLI-04191,2024-06-24,Herramientas manuales,2,25430.71,Web,Transferencia,Río Grande
TX-000107,CLI-00317,2024-06-24,Pinturas y revestimientos,2,27477.88,Web,Transferencia,Río Grande
TX-000112,CLI-04801,2024-06-25,Plomería y caños,10,186467.3,Web,Cuenta corriente,Río Grande
TX-000111,CLI-06206,2024-06-25,Ferretería general,9,19823.41,Web,Transferencia,Ushuaia
TX-000109,CLI-00144,2024-06-25,Seguridad e indumentaria,2,35091.96,App,Transferencia,Ushuaia
TX-000108,CLI-00869,2024-06-25,Electricidad e iluminación,7,73271.46,Web,Tarjeta de débito,Ushuaia
TX-000110,CLI-05537,2024-06-25,Plomería y caños,7,35522.8,App,Tarjeta de débito,Ushuaia
TX-000121,CLI-02972,2024-06-26,Pisos y cerámicos,22,194833.82,Web,Transferencia,Ushuaia
TX-000125,CLI-02112,2024-06-26,Herramientas manuales,3,29168.5,App,Transferencia,Ushuaia
TX-000124,CLI-03853,2024-06-26,Seguridad e indumentaria,6,294464.52,Telefónico,Cuenta corriente,Tolhuin
TX-000122,CLI-05210,2024-06-26,Plomería y caños,3,11193.79,Web,Tarjeta de crédito,Tolhuin
TX-000120,CLI-00799,2024-06-26,Seguridad e indumentaria,3,79755.91,Web,Tarjeta de crédito,Ushuaia
TX-000115,CLI-04007,2024-06-26,Ferretería general,1,2147.9,App,Transferencia,Ushuaia
TX-000118,CLI-02478,2024-06-26,Ferretería general,1,2109.42,App,Tarjeta de débito,Ushuaia
TX-000116,CLI-02509,2024-06-26,Ferretería general,7,49846.6,Web,Cuenta corriente,Río Grande
TX-000113,CLI-04362,2024-06-26,Herramientas manuales,14,236761.05,Web,Tarjeta de crédito,Ushuaia
TX-000126,CLI-04327,2024-06-26,Pisos y cerámicos,6,101438.96,Web,Transferencia,Río Grande
TX-000119,CLI-03543,2024-06-26,Sanitarios y grifería,1,26734.01,Web,Tarjeta de débito,Río Grande
TX-000137,CLI-02091,2024-06-27,Electricidad e iluminación,7,203998.99,Telefónico,Cuenta corriente,Río Grande
TX-000136,CLI-01205,2024-06-27,Sanitarios y grifería,2,117340.12,App,Cuenta corriente,Ushuaia 
TX-000139,CLI-03077,2024-06-27,Ferretería general,13,44498.98,Web,Tarjeta de crédito,Tolhuin
TX-000135,CLI-02714,2024-06-27,Electricidad e iluminación,3,17229.14,App,Tarjeta de débito,Río Grande
TX-000130,CLI-01784,2024-06-27,Seguridad e indumentaria,7,,Telefónico,Cuenta corriente,Ushuaia
TX-000133,CLI-04875,2024-06-27,Herramientas manuales,8,108005.98,Telefónico,Tarjeta de crédito,Ushuaia
TX-000127,CLI-02377,2024-06-27,Aberturas,3,199176.83,Web,Tarjeta de débito,Río Grande
TX-000134,CLI-04547,2024-06-27,Electricidad e iluminación,4,33782.53,Web,Tarjeta de crédito,Río Grande
TX-000129,CLI-05530,2024-06-27,Electricidad e iluminación,5,34312.37,Web,Transferencia,Río Grande
TX-000140,CLI-01558,2024-06-28,Ferretería general,2,5452.52,App,Tarjeta de débito,Río Grande
TX-000141,CLI-03923,2024-06-28,Pisos y cerámicos,11,131061.85,Web,Tarjeta de débito,Ushuaia
TX-000142,CLI-02445,2024-06-28,Maderas y tableros,33,412396.03,App,Tarjeta de débito,Río Grande
TX-000143,CLI-05710,2024-06-28,Pinturas y revestimientos,10,225399.61,App,Tarjeta de débito,Ushuaia
TX-000144,CLI-06051,2024-06-28,Ferretería general,38,73505.88,Web,Tarjeta de crédito,Río Grande
TX-000145,CLI-02817,2024-06-28,Electricidad e iluminación,2,10008.27,Telefónico,Tarjeta de débito,ushuaia
TX-000146,CLI-04900,2024-06-28,Seguridad e indumentaria,3,80874.11,Web,Tarjeta de débito,Río Grande
TX-000147,CLI-05402,2024-06-28,Sanitarios y grifería,1,36045.75,App,Tarjeta de crédito,Ushuaia
TX-000150,CLI-03659,2024-06-29,Electricidad e iluminación,6,44798.83,Web,Transferencia,Río Grande
TX-000153,CLI-02122,2024-06-29,Maderas y tableros,8,125986.01,Telefónico,Tarjeta de crédito,Tolhuin
TX-000152,CLI-05655,2024-06-29,Pisos y cerámicos,6,49056.52,Web,Transferencia,Río Grande
TX-000148,CLI-03325,2024-06-29,Ferretería general,3,11081.26,App,Cuenta corriente,RÍO GRANDE
TX-000149,CLI-05635,2024-06-29,Sanitarios y grifería,5,,Telefónico,Cuenta corriente,Río Grande
TX-000151,CLI-03881,2024-06-29,Seguridad e indumentaria,2,39491.2,Telefónico,Tarjeta de crédito,Río Grande
TX-000154,CLI-01719,2024-06-30,Cemento y áridos,14,238844.46,Telefónico,Transferencia,Rio Grande
TX-000155,CLI-02023,2024-06-30,Plomería y caños,4,16905.21,Web,Tarjeta de débito,Ushuaia
TX-000168,CLI-03979,2024-07-01,Herramientas manuales,1,7782.65,Web,Transferencia,Río Grande
TX-000169,CLI-00050,2024-07-01,Herramientas manuales,3,68065.91,Web,Transferencia,Río Grande
TX-000164,CLI-02089,2024-07-01,Aberturas,4,260098.08,Web,Tarjeta de débito,Ushuaia
TX-000171,CLI-04650,2024-07-01,Cemento y áridos,26,168459.82,Web,T. débito,Río Grande
TX-000172,CLI-01718,2024-07-01,Herramientas manuales,2,19408.44,Web,Tarjeta de crédito,Ushuaia
TX-000170,CLI-04779,2024-07-01,Sanitarios y grifería,2,79537.16,Web,Transferencia,Ushuaia
TX-000166,CLI-01039,2024-07-01,Electricidad e iluminación,5,24550.41,Web,Transferencia,Río Grande
TX-000163,CLI-02740,2024-07-01,Cemento y áridos,9,52704.92,Web,Tarjeta de débito,Ushuaia 
TX-000162,CLI-06647,2024-07-01,Sanitarios y grifería,2,72288.07,Web,T. crédito,río grande
TX-000159,CLI-04574,2024-07-01,Herramientas manuales,2,18205.35,Web,Transferencia,USHUAIA
TX-000158,CLI-01846,2024-07-01,Electricidad e iluminación,4,42821.79,Web,Tarjeta de débito,Río Grande
TX-000157,CLI-04597,2024-07-01,Ferretería general,13,38250.97,App,Tarjeta de débito,Ushuaia
TX-000165,CLI-03467,2024-07-01,Cemento y áridos,9,73307.39,Web,Transferencia,RÍO GRANDE
TX-000181,CLI-06356,2024-07-02,Ferretería general,5,13353.01,Web,Tarjeta de crédito,Río Grande
TX-000183,CLI-06220,2024-07-02,Ferretería general,2,5997.94,Web,Transferencia,Río Grande
TX-000182,CLI-01719,2024-07-02,Plomería y caños,10,116752.24,Web,Cuenta corriente,Río Grande
TX-000180,CLI-01894,2024-07-02,Seguridad e indumentaria,8,127997.53,Web,Tarjeta de crédito,Ushuaia
TX-000178,CLI-01508,2024-07-02,Electricidad e iluminación,15,150119.82,App,Cuenta corriente,Ushuaia
TX-000176,CLI-04574,2024-07-02,Herramientas eléctricas,2,142131.04,Telefónico,Efectivo en sucursal,Ushuaia
TX-000173,CLI-03324,2024-07-02,Ferretería general,5,10465.85,App,Transferencia,Río Grande
TX-000179,CLI-04204,2024-07-02,Aberturas,2,533352.91,App,Cuenta corriente,RÍO GRANDE
TX-000190,CLI-04764,2024-07-03,Electricidad e iluminación,8,122305.22,Web,Transferencia,Río Grande
TX-000184,CLI-03215,2024-07-03,Ferretería general,10,28808.89,Web,Tarjeta de débito,Río Grande
TX-000185,CLI-06733,2024-07-03,Cemento y áridos,17,364836.44,App,Transferencia,Ushuaia
TX-000188,CLI-02509,2024-07-03,Pisos y cerámicos,7,121513.17,Web,Tarjeta de crédito,Río Grande
TX-000189,CLI-04779,2024-07-03,Electricidad e iluminación,8,55151.09,Web,Efectivo en sucursal,Ushuaia
TX-000192,CLI-00438,2024-07-03,Sanitarios y grifería,2,48924.72,Web,Transferencia,Ushuaia
TX-000197,CLI-03666,2024-07-04,Herramientas manuales,6,105010.96,App,Cuenta corriente,Río Grande
TX-000198,CLI-06361,2024-07-04,Pisos y cerámicos,12,244051.88,App,Cuenta corriente,Ushuaia
TX-000194,CLI-01101,2024-07-04,Sanitarios y grifería,7,344099.87,Web,Transferencia,RÍO GRANDE
TX-000193,CLI-01949,2024-07-04,Electricidad e iluminación,17,111542.9,Telefónico,Tarjeta de débito,Río Grande
TX-000195,CLI-04158,2024-07-04,Herramientas manuales,1,12314.6,Web,Efectivo en sucursal,Ushuaia
TX-000212,CLI-02725,2024-07-05,Herramientas manuales,4,32808.27,Web,Transferencia,Río Grande
TX-000211,CLI-02656,2024-07-05,Plomería y caños,7,62143.04,App,Efectivo en sucursal,Río Grande
TX-000207,CLI-04191,2024-07-05,Cemento y áridos,13,97967.5,Web,Efectivo en sucursal,Río Grande
TX-000206,CLI-06608,2024-07-05,Pinturas y revestimientos,6,138697.37,App,Tarjeta de débito,Río Grande
TX-000209,CLI-04607,2024-07-05,Herramientas manuales,2,40634.78,Web,Transferencia,Río Grande
TX-000204,CLI-06279,2024-07-05,Pinturas y revestimientos,3,56729.45,Web,Tarjeta de débito,Ushuaia
TX-000203,CLI-06273,2024-07-05,Cemento y áridos,29,409019.21,Web,Cuenta corriente,Río Grande
TX-000200,CLI-01079,2024-07-05,Ferretería general,12,26789.31,App,Efectivo en sucursal,Ushuaia
TX-000199,CLI-00238,2024-07-05,Plomería y caños,8,90961.86,Telefónico,Cuenta corriente,Río Grande
TX-000205,CLI-03417,2024-07-05,Cemento y áridos,26,419459.01,App,Transferencia,
TX-000228,CLI-00890,2024-07-06,Ferretería general,7,24665.46,Web,Tarjeta de débito,Tolhuin
TX-000234,CLI-01126,2024-07-06,Herramientas manuales,2,20783.39,Web,Tarjeta de crédito,ushuaia
TX-000233,CLI-04646,2024-07-06,Electricidad e iluminación,5,57991.75,App,Transferencia,Río Grande
TX-000232,CLI-00310,2024-07-06,Ferretería general,3,9117.22,Web,Transferencia,Ushuaia 
TX-000235,CLI-06369,2024-07-06,Pisos y cerámicos,3,29330.88,Web,Transferencia,Tolhuin
TX-000230,CLI-04204,2024-07-06,Maderas y tableros,14,643171.45,App,,Río Grande
TX-000226,CLI-01719,2024-07-06,Herramientas eléctricas,3,585865.62,App,Cuenta corriente,RÍO GRANDE
TX-000231,CLI-01659,2024-07-06,Ferretería general,6,15931.14,App,Tarjeta de crédito,Río Grande
TX-000224,CLI-02496,2024-07-06,Sanitarios y grifería,2,50061.17,Web,Tarjeta de crédito,Río Grande
TX-000223,CLI-00174,2024-07-06,Ferretería general,14,80413.21,Telefónico,Tarjeta de crédito,Ushuaia
TX-000222,CLI-01851,2024-07-06,Pinturas y revestimientos,3,29521.45,Web,Tarjeta de crédito,Río Grande
TX-000219,CLI-06361,2024-07-06,Maderas y tableros,9,266792.23,Web,Transferencia,Ushuaia
TX-000216,CLI-03023,2024-07-06,Herramientas manuales,1,8496.54,App,Tarjeta de débito,Río Grande
TX-000214,CLI-03298,2024-07-06,Herramientas manuales,1,13960.55,App,Tarjeta de débito,Ushuaia
TX-000213,CLI-05906,2024-07-06,Ferretería general,5,11508.37,Web,Transferencia,río grande
TX-000225,CLI-01268,2024-07-06,Herramientas manuales,8,69183.97,Web,Tarjeta de débito,Río Grande
TX-000236,CLI-01214,2024-07-07,Plomería y caños,2,16186.79,Web,Transferencia,Tolhuin
TX-000237,CLI-04985,2024-07-07,Cemento y áridos,6,56004.29,App,Tarjeta de crédito,Río Grande
TX-000238,CLI-05775,2024-07-07,Seguridad e indumentaria,3,109914.18,Web,Transferencia,USHUAIA
TX-000248,CLI-02282,2024-07-08,Electricidad e iluminación,3,19584.27,Web,Tarjeta de crédito,Ushuaia
TX-000247,CLI-05930,2024-07-08,Plomería y caños,4,21822.99,App,Tarjeta de crédito,río grande
TX-000246,CLI-00863,2024-07-08,Sanitarios y grifería,7,221717.4,Web,Tarjeta de débito,Río Grande
TX-000245,CLI-03468,2024-07-08,Electricidad e iluminación,2,13958.91,Web,Transferencia,Río Grande
TX-000241,CLI-01439,2024-07-08,Electricidad e iluminación,4,38163.12,App,Tarjeta de débito,Río Grande
TX-000242,CLI-04875,2024-07-08,Pinturas y revestimientos,1,22382.12,App,Tarjeta de crédito,Ushuaia
TX-000240,CLI-01966,2024-07-08,Ferretería general,7,22419.31,Web,Transferencia,Ushuaia
TX-000239,CLI-02862,2024-07-08,Herramientas manuales,8,109847.83,Web,Tarjeta de débito,Río Grande 
TX-000243,CLI-02586,2024-07-08,Electricidad e iluminación,9,71708.9,App,Transferencia,Río Grande
TX-000260,CLI-00094,2024-07-09,Plomería y caños,4,46906.61,Telefónico,Transferencia,Ushuaia
TX-000265,CLI-02089,2024-07-09,Pinturas y revestimientos,2,41668.7,App,Tarjeta de débito,Ushuaia
TX-000264,CLI-02209,2024-07-09,Ferretería general,6,13108.68,Web,Efectivo en sucursal,Río Grande
TX-000263,CLI-02152,2024-07-09,Electricidad e iluminación,20,424364.3,Telefónico,Tarjeta de débito,Río Grande
TX-000262,CLI-06122,2024-07-09,,2,20639.71,Telefónico,Tarjeta de débito,Río Grande
TX-000261,CLI-01205,2024-07-09,Herramientas manuales,25,679138.67,App,Cuenta corriente,Ushuaia
TX-000259,CLI-04709,2024-07-09,Pisos y cerámicos,4,37327.4,Web,Efectivo en sucursal,Río Grande
TX-000256,CLI-06702,2024-07-09,Pinturas y revestimientos,6,93778.18,Web,Tarjeta de crédito,Ushuaia
TX-000255,CLI-00418,2024-07-09,Herramientas manuales,3,35112.17,Web,Tarjeta de débito,USHUAIA
TX-000253,CLI-06051,2024-07-09,Electricidad e iluminación,5,24050.99,Web,transf.,Río Grande
TX-000252,CLI-00528,2024-07-09,Ferretería general,9,23833.42,App,Tarjeta de débito,Tolhuin
TX-000251,CLI-01461,2024-07-09,Seguridad e indumentaria,5,124728.3,App,Tarjeta de crédito,Tolhuin
TX-000250,CLI-05703,2024-07-09,Pinturas y revestimientos,12,196811.42,Web,Tarjeta de crédito,Ushuaia
TX-000249,CLI-05652,2024-07-09,Seguridad e indumentaria,3,76452.68,Web,Transferencia,Ushuaia
TX-000257,CLI-01601,2024-07-09,Sanitarios y grifería,2,143878.74,Telefónico,Cuenta corriente,Río Grande
TX-000279,CLI-00617,2024-07-10,Ferretería general,5,14222.26,Web,Tarjeta de crédito,
TX-000281,CLI-03176,2024-07-10,Ferretería general,3,8850.96,Web,T. débito,Ushuaia
TX-000280,CLI-01704,2024-07-10,Aberturas,11,1986403.66,Telefónico,Cuenta corriente,Río Grande
TX-000278,CLI-04621,2024-07-10,Ferretería general,10,105094.23,Telefónico,Cuenta corriente,RÍO GRANDE
TX-000277,CLI-03853,2024-07-10,Plomería y caños,86,1389812.72,Telefónico,Cuenta corriente,Tolhuin
TX-000276,CLI-01949,2024-07-10,Cemento y áridos,3,22712.63,Web,Tarjeta de débito,Río Grande
TX-000275,CLI-04631,2024-07-10,Herramientas eléctricas,1,102426.88,App,Efectivo en sucursal,Río Grande 
TX-000274,CLI-02965,2024-07-10,Plomería y caños,4,23511.36,Web,Tarjeta de crédito,Río Grande
TX-000273,CLI-00418,2024-07-10,Ferretería general,2,6140.57,App,Tarjeta de débito,Ushuaia
TX-000271,CLI-00174,2024-07-10,Herramientas manuales,2,40343.44,App,Transferencia,Ushuaia
TX-000270,CLI-01496,2024-07-10,Ferretería general,3,10311.52,App,Tarjeta de débito,Tolhuin
TX-000269,CLI-01125,2024-07-10,Sanitarios y grifería,1,24280.86,App,Transferencia,Río Grande
TX-000268,CLI-05626,2024-07-10,Ferretería general,20,40994.94,Telefónico,Transferencia,RÍO GRANDE
TX-000267,CLI-05775,2024-07-10,Herramientas manuales,7,178368.77,Telefónico,Efectivo en sucursal,Ushuaia
TX-000266,CLI-05597,2024-07-10,Seguridad e indumentaria,2,33908.11,Web,Transferencia,Tolhuin
TX-000302,CLI-04779,2024-07-11,Sanitarios y grifería,3,77514.64,App,Tarjeta de crédito,Ushuaia
TX-000301,CLI-05186,2024-07-11,Cemento y áridos,48,1060145.52,Telefónico,Cuenta corriente,Río Grande
TX-000300,CLI-00468,2024-07-11,Pisos y cerámicos,2,19060.96,Web,Tarjeta de débito,Ushuaia
TX-000299,CLI-01358,2024-07-11,Aberturas,1,77725.67,Web,Tarjeta de débito,Ushuaia
TX-000297,CLI-01379,2024-07-11,Ferretería general,3,8194.1,Web,Tarjeta de crédito,Río Grande
TX-000295,CLI-02800,2024-07-11,Pinturas y revestimientos,1,14574.85,Web,Transferencia,Ushuaia
TX-000294,CLI-00090,2024-07-11,Electricidad e iluminación,3,24696.89,Web,Tarjeta de débito,Ushuaia
TX-000293,CLI-00614,2024-07-11,Herramientas eléctricas,3,241888.28,Web,Tarjeta de crédito,Río Grande
TX-000283,CLI-00316,2024-07-11,Pinturas y revestimientos,10,216468.42,Telefónico,Cuenta corriente,Ushuaia
TX-000290,CLI-00120,2024-07-11,Plomería y caños,4,23010.39,Web,Tarjeta de débito,Río Grande
TX-000289,CLI-06730,2024-07-11,Electricidad e iluminación,3,20110.06,Web,Tarjeta de débito,Ushuaia
TX-000288,CLI-04158,2024-07-11,Plomería y caños,2,18843.18,App,Transferencia,ushuaia
TX-000286,CLI-01232,2024-07-11,Sanitarios y grifería,3,79904.34,Web,Tarjeta de débito,Ushuaia
TX-000285,CLI-03988,2024-07-11,Maderas y tableros,8,149964.93,Web,Transferencia,Ushuaia
TX-000284,CLI-00406,2024-07-11,Sanitarios y grifería,2,53941.6,App,Tarjeta de crédito,río grande
TX-000292,CLI-05635,2024-07-11,Herramientas manuales,14,377567.88,Telefónico,Cuenta corriente,Río Grande
TX-000315,CLI-00859,2024-07-12,Pinturas y revestimientos,2,32890.38,Web,Tarjeta de débito,Río Grande
TX-000316,CLI-03226,2024-07-12,Maderas y tableros,14,361462.24,Telefónico,Cuenta corriente,Río Grande
TX-000314,CLI-04054,2024-07-12,Electricidad e iluminación,1,6119.8,Web,Tarjeta de débito,Tolhuin
TX-000318,CLI-02922,2024-07-12,Ferretería general,3,11327.96,Web,Transferencia,Río Grande
TX-000319,CLI-05152,2024-07-12,Plomería y caños,6,37544.53,Telefónico,Tarjeta de crédito,ushuaia
TX-000317,CLI-04289,2024-07-12,Herramientas manuales,4,94152.82,Telefónico,Transferencia,Río Grande
TX-000312,CLI-02705,2024-07-12,Plomería y caños,4,80813.12,Telefónico,Cuenta corriente,Tolhuin
TX-000311,CLI-04391,2024-07-12,Herramientas eléctricas,2,343047.36,App,Cuenta corriente,Río Grande
TX-000310,CLI-03666,2024-07-12,Ferretería general,4,26153.53,App,Tarjeta de débito,Río Grande
TX-000309,CLI-01254,2024-07-12,Cemento y áridos,9,65280.49,Web,Tarjeta de crédito,Tolhuin
TX-000308,CLI-06423,2024-07-12,Ferretería general,25,92912.2,Web,,Ushuaia
TX-000307,CLI-04875,2024-07-12,Electricidad e iluminación,3,29652.41,App,Tarjeta de débito,Ushuaia
TX-000305,CLI-04953,2024-07-12,Herramientas manuales,3,22660.74,App,Efectivo en sucursal,Ushuaia
TX-000304,CLI-02393,2024-07-12,Plomería y caños,5,28379.54,Web,Transferencia,Ushuaia
